ФИО;Паспортные данные;СНИЛС;Симптомы;Выбор врача;Дата посещения врача;Анализы;Дата получения анализов;Стоимость анализов;Карта оплаты
Борисова Антонина Максимовна;4225 484888;420-696-942 93;общее недомогание, общая слабость, головная боль;неонатолог;2025-12-10T16:15+03:00;общий анализ мочи, общий анализ крови;2025-12-15T09:00+03:00;1400 руб.;5100 0369 2944 5510
Попова Злата Станиславовна;0320 792477;199-180-812 16;воспаление суставов, слабость в мышцах, утренняя скованность;ревматолог;2025-12-18T11:45+03:00;анализ крови на С-реактивный белок;2025-12-19T17:00+03:00;1650 руб.;5213 2412 0602 1281
Лукашенко Лариса Васильевна;1625 757261;157-676-472 19;головная боль;трихолог;2025-12-18T09:30+03:00;общий анализ мочи, общий анализ крови;2025-12-22T13:30+03:00;1400 руб.;2200 0615 1826 0688
Семенова Виктория Артемовна;5020 403381;713-695-944 30;общая слабость, легкая тошнота;косметолог;2025-12-01T14:45+03:00;общий анализ крови, общий анализ мочи;2025-12-02T16:45+03:00;1400 руб.;5100 4368 4995 1540
Семенова Елена Сергеевна;MC8302077;120-750-110 97;головная боль;детский хирург;2025-12-01T13:00+03:00;общий анализ мочи;2025-12-02T17:00+03:00;600 руб.;2200 1445 9779 4528
Смирнов Филипп Андреевич;N82454722;830-705-349 83;головная боль, легкая тошнота, общее недомогание;неонатолог;2025-12-19T10:00+03:00;общий анализ мочи, общий анализ крови;2025-12-22T09:00+03:00;1400 руб.;4630 2725 0392 6144
Баранов Изяслав Борисович;5221 537757;150-618-538 50;общая слабость;онколог-хирург;2025-11-27T11:45+03:00;общий анализ крови;2025-12-01T09:00+03:00;800 руб.;2200 0342 3183 0616
Павловский Владимир Станиславович;5017 689238;609-379-660 34;онемение рук, слабость в руках;невролог;2025-12-10T12:30+03:00;реоэнцефалография, узи сосудов головы и шеи;2025-12-11T17:00+03:00;5250 руб.;5487 0176 9587 4136
Семенова Елена Сергеевна;MC8302077;120-750-110 97;головная боль, легкая тошнота;детский хирург;2025-11-24T11:45+03:00;общий анализ крови, общий анализ мочи;2025-11-27T09:00+03:00;1400 руб.;4153 7423 5369 3785
Левчук Татьяна Максимовна;7816 333047;676-640-473 35;нарушение координации, слабость в ногах;невролог;2025-11-27T11:15+03:00;реоэнцефалография;2025-12-01T09:00+03:00;1750 руб.;2200 0249 6718 3256
Новиков Никита Станиславович;6615 224131;602-606-474 57;отек Квинке, аллергический конъюнктивит, крапивница;аллерголог;2025-12-10T09:15+03:00;провокационные тесты, анализ крови на иммуноглобулин Е;2025-12-11T17:00+03:00;3400 руб.;4279 0125 5638 3009
Сидорчук Леонид Павлович;7814 129649;662-411-186 73;общее недомогание, головная боль, общая слабость;рефлексотерапевт;2025-12-15T15:15+03:00;общий анализ мочи, общий анализ крови;2025-12-17T17:00+03:00;1400 руб.;2200 0449 7646 1360
Сизов Виктор Константинович;7721 338747;265-576-769 30;общее недомогание, головная боль, легкая тошнота;физиотерапевт;2025-11-20T16:45+03:00;общий анализ крови, общий анализ мочи;2025-11-24T09:00+03:00;1400 руб.;4279 0157 9145 2117
Павловский Владимир Станиславович;5017 689238;609-379-660 34;растяжения, травматические повреждения, переломы;травматолог;2025-12-09T16:15+03:00;общий анализ крови;2025-12-11T09:00+03:00;800 руб.;5100 4359 9604 3879
Егорова Зинаида Артемовна;5421 734862;434-165-182 64;легкая тошнота, общее недомогание;терапевт;2025-12-19T10:45+03:00;анализ крови на сахар;2025-12-22T17:00+03:00;1650 руб.;4276 8337 1067 2877
Сидорчук Леонид Павлович;7814 129649;662-411-186 73;головная боль, утомляемость;терапевт;2025-12-01T13:30+03:00;рентген грудной клетки, общий анализ мочи;2025-12-02T17:00+03:00;3100 руб.;4279 0177 5965 5558
Борисова Галина Станиславовна;2323 088985;732-030-937 55;увеличение лимфоузлов, хроническая усталость;иммунолог;2025-12-19T14:15+03:00;анализ крови на цитокины;2025-12-22T14:15+03:00;1650 руб.;4153 7425 2410 5644
Зайцева Анастасия Денисовна;N74119726;116-719-022 47;раздражительность, навязчивые мысли;психиатр;2025-12-08T16:30+03:00;психологическое тестирование;2025-12-11T09:00+03:00;1750 руб.;2200 0735 0344 6941
Дмитриев Ярослав Иванович;PP7816395;041-776-561 67;головная боль, общая слабость, незначительное повышение температуры;терапевт;2025-11-24T12:30+03:00;биохимический анализ крови;2025-11-27T09:00+03:00;1500 руб.;5100 0305 4669 2752
Петухов Евгений Владимирович;N99436783;223-105-927 18;общее недомогание, незначительное повышение температуры, легкая тошнота;венеролог;2025-12-17T16:15+03:00;общий анализ крови;2025-12-19T09:00+03:00;800 руб.;5486 7322 7051 0282
Романчук Кристина Егоровна;2318 879388;581-932-426 13;незначительное повышение температуры, общая слабость, общее недомогание;косметолог;2025-12-18T15:30+03:00;общий анализ крови;2025-12-22T14:30+03:00;800 руб.;2200 1439 8365 2035
Баранова Дарья Игоревна;6323 931488;890-030-102 63;общая слабость, незначительное повышение температуры;маммолог;2025-12-19T13:00+03:00;общий анализ крови, общий анализ мочи;2025-12-22T09:00+03:00;1400 руб.;4279 0140 9079 7728
Левчук Татьяна Максимовна;7816 333047;676-640-473 35;общая слабость, головная боль;терапевт;2025-12-17T11:00+03:00;общий анализ крови, флюорография;2025-12-19T15:00+03:00;2000 руб.;2200 0743 9055 2957
Дмитриев Ярослав Иванович;PP7816395;041-776-561 67;травматические повреждения, ограничение движений после травмы, переломы;травматолог;2025-12-16T17:15+03:00;рентген травмированной области, кт при травме;2025-12-18T17:00+03:00;11750 руб.;4153 7453 9840 2898
Орлов Николай Вадимович;5422 369054;181-563-268 77;общая слабость, незначительное повышение температуры, головная боль;онколог-хирург;2025-12-08T14:00+03:00;общий анализ мочи, общий анализ крови;2025-12-11T09:00+03:00;1400 руб.;5486 7312 5902 0354
Андреев Святослав Вадимович;7722 405911;868-793-741 02;головная боль, общее недомогание, легкая тошнота;спортивный врач;2025-11-21T15:30+03:00;общий анализ мочи;2025-11-24T17:00+03:00;600 руб.;5100 2032 4474 1755
Васильева Полина Васильевна;3422 953746;629-251-881 13;головная боль, общая слабость, незначительное повышение температуры;детский хирург;2025-12-02T11:15+03:00;общий анализ мочи, общий анализ крови;2025-12-04T09:00+03:00;1400 руб.;5486 7322 7051 0282
Никифорова Милана Олеговна;7719 955491;797-296-590 96;раздражительность, перепады настроения;психиатр;2025-11-28T09:00+03:00;электроэнцефалография;2025-12-01T17:00+03:00;9000 руб.;4276 4490 5150 2670
Большакова Галина Владиславовна;0319 309479;517-123-685 68;головная боль, легкая тошнота;неонатолог;2025-12-08T11:00+03:00;общий анализ мочи, общий анализ крови;2025-12-11T09:00+03:00;1400 руб.;5100 4399 4237 6763
Борисова Галина Станиславовна;2323 088985;732-030-937 55;легкая тошнота, незначительное повышение температуры, общая слабость;диетолог;2025-12-19T12:00+03:00;общий анализ мочи, общий анализ крови;2025-12-22T09:00+03:00;1400 руб.;4279 0198 3922 5014
Романчук Снежана Владиславовна;6123 169931;392-407-581 96;головная боль, легкая тошнота;терапевт;2025-12-11T11:15+03:00;биохимический анализ крови;2025-12-15T09:00+03:00;1500 руб.;4622 0439 4522 8856
Волкова Диана Григорьевна;5424 413189;376-731-625 11;сухость кожи, пятна на коже;дерматолог;2025-12-16T15:45+03:00;аллергопробы;2025-12-18T17:00+03:00;1750 руб.;2200 0935 5580 9960
Николаев Павел Владиславович;5019 326204;704-622-681 79;болезненное мочеиспускание, недержание мочи;уролог;2025-12-15T09:15+03:00;анализ мочи по Нечипоренко, анализ мочи по Зимницкому;2025-12-17T17:15+03:00;1900 руб.;4153 7496 6018 6486
Богданова Нина Станиславовна;N66642448;032-420-448 00;отрыжка, запор;гастроэнтеролог;2025-12-15T10:45+03:00;анализ кала на дисбактериоз, биохимический анализ крови;2025-12-18T09:00+03:00;10500 руб.;4153 7479 2408 2228
Попова Людмила Антоновна;5424 865402;912-165-585 94;общая слабость, головная боль;терапевт;2025-12-01T13:15+03:00;анализ крови на сахар, общий анализ крови;2025-12-03T17:00+03:00;2450 руб.;4276 4409 1901 5815
Медведева Анастасия Филипповна;5020 374222;075-409-150 63;головная боль;ортодонт;2025-11-24T17:00+03:00;общий анализ крови;2025-11-27T09:00+03:00;800 руб.;2200 0893 8970 1555
Большакова Галина Владиславовна;0319 309479;517-123-685 68;боль в области таза, тяжесть внизу живота;гинеколог;2025-12-02T09:15+03:00;анализ на ЗППП, мазок на флору;2025-12-04T12:15+03:00;3400 руб.;5213 2498 8305 9730
Белова Алиса Владимировна;7714 217199;624-479-513 11;общая слабость;геронтолог;2025-12-09T13:45+03:00;общий анализ мочи, общий анализ крови;2025-12-11T17:00+03:00;1400 руб.;2200 0572 7738 2648
Власова Алла Николаевна;7220 001207;876-038-597 55;головная боль;неонатолог;2025-12-15T17:30+03:00;общий анализ мочи, общий анализ крови;2025-12-17T17:00+03:00;1400 руб.;4276 8395 9660 4876
Петухова Вера Константиновна;7819 906907;686-536-945 67;светобоязнь, сухость глаз, двоение в глазах;офтальмолог;2025-12-08T17:45+03:00;офтальмоскопия;2025-12-11T09:00+03:00;1750 руб.;5486 7326 4085 7215
Попова Злата Станиславовна;0320 792477;199-180-812 16;боль внизу живота;гинеколог;2025-12-09T17:00+03:00;мазок на флору, мазок на онкоцитологию;2025-12-12T09:00+03:00;3300 руб.;4279 0125 5638 3009
Беляева Галина Никитична;5417 452203;917-410-119 80;общее недомогание, головная боль, общая слабость;стоматолог-терапевт;2025-12-04T14:15+03:00;общий анализ мочи;2025-12-08T11:15+03:00;600 руб.;2200 0439 7739 7326
Гусев Лука Виталиевич;3623 493051;616-481-980 13;головные боли напряжения;остеопат;2025-12-15T15:00+03:00;рентген позвоночника, функциональные тесты;2025-12-17T17:00+03:00;4500 руб.;5101 2612 5652 3734
Дмитриева Диана Владиславовна;0221 569098;739-285-574 53;дрожание рук, постоянная жажда;эндокринолог;2025-12-15T13:30+03:00;глюкозотолерантный тест, анализ крови на сахар;2025-12-17T17:30+03:00;3400 руб.;4475 2028 4035 9541
Максимова Мария Филипповна;2325 456069;016-582-029 40;легкая тошнота, незначительное повышение температуры;маммолог;2025-11-24T11:15+03:00;общий анализ мочи, общий анализ крови;2025-11-27T09:00+03:00;1400 руб.;5101 2664 0155 7784
Сизов Вадим Игоревич;5906 491898;901-043-289 50;посттравматический стресс, фобии;психотерапевт;2025-12-15T17:45+03:00;психологическое тестирование, нейропсихологическое обследование;2025-12-18T10:45+03:00;3500 руб.;2200 0893 8970 1555
Борисова Галина Станиславовна;2323 088985;732-030-937 55;головная боль, легкая тошнота, общая слабость;косметолог;2025-12-05T15:00+03:00;общий анализ мочи;2025-12-08T09:00+03:00;600 руб.;4276 8323 4785 1961
Романова Радмила Вадимовна;3622 804712;998-094-024 76;легкая тошнота, общая слабость;неонатолог;2025-12-16T17:15+03:00;общий анализ мочи;2025-12-19T11:15+03:00;600 руб.;2200 0552 7047 7431
Тарасов Станислав Сергеевич;MP2332904;079-833-423 11;головная боль, общая слабость;мануальный терапевт;2025-12-09T13:30+03:00;общий анализ крови;2025-12-12T11:30+03:00;800 руб.;5101 2640 3339 9774
Филиппова Диана Витальевна;BM9961107;069-901-627 97;дрожание рук;эндокринолог;2025-11-24T16:00+03:00;анализ крови на инсулин, анализ крови на ТТГ;2025-11-27T09:00+03:00;3300 руб.;2200 0296 1739 9707
Борисова Антонина Максимовна;4225 484888;420-696-942 93;головная боль, незначительное повышение температуры, легкая тошнота;косметолог;2025-12-05T17:30+03:00;общий анализ мочи, общий анализ крови;2025-12-08T14:30+03:00;1400 руб.;5213 2498 8305 9730
Веселова Виктория Валентиновна;7811 857627;729-949-387 82;боль в пояснице, изменение цвета мочи;нефролог;2025-12-18T17:45+03:00;анализ мочи, анализ крови на креатинин;2025-12-19T17:00+03:00;2600 руб.;2200 0658 2313 3480
Кравцов Давид Андреевич;3614 402587;066-703-362 66;общее недомогание, головная боль;спортивный врач;2025-12-08T11:30+03:00;общий анализ крови;2025-12-10T12:30+03:00;800 руб.;4630 2758 7964 3474
Антонова Вероника Егоровна;7720 985649;065-274-033 54;аутоиммунные проявления, аллергические реакции;иммунолог;2025-11-20T14:45+03:00;анализ крови на субпопуляции лимфоцитов, анализ крови на цитокины;2025-11-24T09:00+03:00;3300 руб.;5213 2441 1325 7972
Никифоров Тимофей Павлович;5422 459407;417-215-622 53;общее недомогание;сосудистый хирург;2025-11-24T16:15+03:00;общий анализ мочи, общий анализ крови;2025-11-27T12:15+03:00;1400 руб.;4630 2725 0392 6144
Медведева Злата Никитична;5011 738261;490-216-667 85;вздутие живота, боль в животе, боль после еды;гастроэнтеролог;2025-12-03T09:30+03:00;анализ кала на копрограмму, анализ кала на скрытую кровь;2025-12-05T09:00+03:00;3400 руб.;4627 2982 8197 9315
Белова Надежда Никитична;MC3553581;512-957-860 08;носовые кровотечения;гематолог;2025-11-20T09:15+03:00;анализ крови на онкомаркеры, биопсия костного мозга;2025-11-24T09:00+03:00;3400 руб.;4153 7439 5923 2341
Филиппов Валентин Степанович;4717 273433;534-624-751 90;шум в голове;невролог;2025-12-01T10:30+03:00;электроэнцефалография, узи сосудов головы и шеи;2025-12-02T17:00+03:00;12500 руб.;2200 0504 6333 1271
Константинов Игорь Станиславович;5223 002304;548-851-027 19;боль в пояснице, отеки;нефролог;2025-12-18T16:00+03:00;узи почек, анализ мочи по Нечипоренко;2025-12-22T15:00+03:00;4450 руб.;2200 0563 3691 1280
Макаров Святослав Вячеславович;6624 501198;817-006-661 83;увеличение лимфоузлов;иммунолог;2025-11-20T13:15+03:00;анализ крови на цитокины;2025-11-24T17:00+03:00;1650 руб.;2200 1445 9779 4528
Власова Анастасия Алексеевна;7820 259415;472-282-005 70;головная боль при инфекции;инфекционист;2025-11-20T11:15+03:00;анализ крови на антитела;2025-11-24T17:15+03:00;1650 руб.;5101 2645 9626 2286
Медведев Валентин Виталиевич;7722 027085;070-260-869 42;скованность в суставах;ортопед;2025-11-20T14:15+03:00;денситометрия;2025-11-21T17:00+03:00;1750 руб.;4279 0157 9145 2117
Яковлев Евгений Борисович;6125 517709;338-005-452 50;головная боль, общая слабость;терапевт;2025-12-05T16:30+03:00;биохимический анализ крови;2025-12-08T10:30+03:00;1500 руб.;4622 0477 9323 8222
Макаров Егор Станиславович;5203 161451;484-677-378 56;незначительное повышение температуры, общая слабость;мануальный терапевт;2025-11-27T12:30+03:00;общий анализ мочи;2025-12-01T09:30+03:00;600 руб.;4153 7425 6529 0602
Петров Виктор Ярославович;6616 360608;967-379-487 00;общее недомогание, незначительное повышение температуры, головная боль;нарколог;2025-12-18T11:30+03:00;общий анализ мочи, общий анализ крови;2025-12-22T09:00+03:00;1400 руб.;4279 0177 5965 5558
Козлова Мирослава Кирилловна;7720 747316;254-768-182 09;головная боль;трихолог;2025-12-16T12:00+03:00;общий анализ мочи;2025-12-18T17:00+03:00;600 руб.;5101 2608 5838 2523
Николаев Григорий Павлович;3423 068942;678-669-125 78;головная боль;торакальный хирург;2025-12-08T15:15+03:00;общий анализ крови, общий анализ мочи;2025-12-10T09:15+03:00;1400 руб.;4630 2758 7964 3474
Богданова Кристина Васильевна;5019 769090;910-622-723 70;сухой кашель, приступы удушья, хрипы;пульмонолог;2025-11-27T14:00+03:00;флюорография;2025-11-28T17:00+03:00;1200 руб.;4276 4423 7245 0182
Кузнецов Егор Павлович;7424 566433;926-179-640 40;головная боль, легкая тошнота;кардиохирург;2025-12-01T10:45+03:00;общий анализ крови;2025-12-04T10:45+03:00;800 руб.;2200 0464 1769 2743
Кузнецов Егор Павлович;7424 566433;926-179-640 40;боли в шее, головные боли напряжения, мышечные зажимы;остеопат;2025-12-17T16:45+03:00;мрт позвоночника, функциональные тесты;2025-12-19T09:45+03:00;13250 руб.;5486 9964 5101 7397
Медведева Злата Никитична;5011 738261;490-216-667 85;аллергический ринит;аллерголог;2025-12-08T15:45+03:00;провокационные тесты;2025-12-09T17:00+03:00;1750 руб.;5536 9113 5996 6058
Веселова Виктория Валентиновна;7811 857627;729-949-387 82;необъяснимая потеря веса, длительная субфебрильная температура, уплотнения;онколог;2025-11-26T11:00+03:00;анализ крови на онкомаркеры, кт с контрастом;2025-11-28T13:00+03:00;10650 руб.;5486 9955 5347 0579
Гусева Жанна Александровна;7722 758725;437-447-012 84;кашель с мокротой;пульмонолог;2025-12-15T17:30+03:00;анализ крови на альфа-1-антитрипсин, флюорография;2025-12-17T09:00+03:00;2850 руб.;2200 0854 1165 9720
Беляев Марк Павлович;7712 610111;884-882-691 95;боль в области почек, недержание мочи, жжение при мочеиспускании;уролог;2025-11-24T14:30+03:00;анализ мочи по Нечипоренко, бакпосев мочи;2025-11-25T17:00+03:00;1900 руб.;5486 9999 1537 0386
Николайчук Макар Антонович;7725 406225;995-866-934 24;увеличение лимфоузлов, новообразования, уплотнения;онколог;2025-12-04T12:15+03:00;кт с контрастом;2025-12-08T09:00+03:00;9000 руб.;2200 0868 8936 2896
Гусев Лука Виталиевич;3623 493051;616-481-980 13;незначительное повышение температуры, общее недомогание, головная боль;терапевт;2025-12-01T14:15+03:00;рентген грудной клетки, биохимический анализ крови;2025-12-02T17:00+03:00;4000 руб.;5101 2638 9218 7858
Медведев Валентин Виталиевич;7722 027085;070-260-869 42;тяжесть в ногах, синюшность ног, боль в ногах;флеболог;2025-12-08T09:45+03:00;анализ крови на свертываемость, коагулограмма;2025-12-10T12:45+03:00;3400 руб.;4279 0150 4617 3575
Антонов Григорий Владиславович;7724 925144;220-681-558 46;метеоризм, горечь во рту;гастроэнтеролог;2025-12-12T11:00+03:00;гастроскопия, анализ крови на печеночные пробы;2025-12-15T09:00+03:00;3400 руб.;4622 0462 6374 8454
Киселев Изяслав Игоревич;7723 369756;589-714-802 59;общее недомогание, периодическая рвота, незначительное повышение температуры;терапевт;2025-12-09T09:30+03:00;общий анализ крови;2025-12-12T09:00+03:00;800 руб.;2200 0443 8364 0416
Гусев Евгений Николаевич;N82920556;872-874-315 55;головная боль;кардиохирург;2025-11-20T16:00+03:00;общий анализ крови, общий анализ мочи;2025-11-24T17:00+03:00;1400 руб.;2200 0967 2521 4524
Тарасова Диана Максимовна;5925 909314;082-148-628 65;повышенное давление, отеки;нефролог;2025-11-27T14:00+03:00;анализ мочи по Нечипоренко, узи почек;2025-12-01T17:00+03:00;4450 руб.;4622 0444 0892 6879
Антонов Вадим Виталиевич;0222 901103;239-728-351 07;незначительное повышение температуры, периодическая рвота, легкий кашель;терапевт;2025-12-12T11:15+03:00;общий анализ крови, рентген грудной клетки;2025-12-15T13:15+03:00;3300 руб.;4630 2744 1529 8216
Медведев Валентин Виталиевич;7722 027085;070-260-869 42;легкая тошнота, общее недомогание;торакальный хирург;2025-12-15T16:00+03:00;общий анализ мочи;2025-12-17T09:00+03:00;600 руб.;4276 4494 6579 6785
Соловьева Мирослава Леонидовна;4721 552954;988-683-452 10;уплотнения, длительная субфебрильная температура;онколог;2025-12-02T15:45+03:00;мрт с контрастом;2025-12-03T16:45+03:00;11500 руб.;2200 0547 4080 3144
Сизов Макар Антонович;7224 916147;882-850-317 39;незначительное повышение температуры, общая слабость, общее недомогание;терапевт;2025-12-05T12:00+03:00;анализ крови на сахар;2025-12-08T09:00+03:00;1650 руб.;2200 0452 6356 0228
Антонов Вадим Виталиевич;0222 901103;239-728-351 07;нарушение развития, детская сыпь, повышенная температура у детей;педиатр;2025-11-20T13:45+03:00;анализ крови на детские инфекции;2025-11-24T15:45+03:00;1650 руб.;2200 0954 4149 6738
Михайлова Татьяна Александровна;5218 120879;712-852-464 93;бледность, выраженная слабость, носовые кровотечения;гематолог;2025-12-02T12:00+03:00;биопсия костного мозга, анализ крови на железо;2025-12-04T17:00+03:00;3400 руб.;2200 0206 2113 6953
Романчук Снежана Владиславовна;6123 169931;392-407-581 96;нарушение зрения, обморок, шум в голове;невролог;2025-12-15T14:00+03:00;электроэнцефалография;2025-12-17T11:00+03:00;9000 руб.;2200 0530 6624 8132
Гусев Евгений Николаевич;N82920556;872-874-315 55;хронические боли в спине, нарушение осанки;остеопат;2025-11-24T12:30+03:00;мрт позвоночника;2025-11-26T17:00+03:00;11500 руб.;4279 0188 0925 5027
Иванов Константин Александрович;5419 020755;796-496-737 01;синюшность ног, тяжесть в ногах, варикозное расширение вен;флеболог;2025-12-04T17:30+03:00;допплерография сосудов;2025-12-08T11:30+03:00;1750 руб.;5469 3825 0642 0764
Баранов Изяслав Борисович;5221 537757;150-618-538 50;незначительное повышение температуры;терапевт;2025-12-03T15:45+03:00;анализ крови на сахар, флюорография;2025-12-05T17:00+03:00;2850 руб.;2200 0775 4692 6322
Скворцов Филипп Олегович;6620 180942;377-889-255 75;частое мочеиспускание;нефролог;2025-12-12T12:15+03:00;анализ мочи по Нечипоренко, анализ мочи по Зимницкому;2025-12-15T12:15+03:00;1900 руб.;2200 0527 1874 9604
Веселова Александра Андреевна;N89961933;082-404-335 37;сухой кашель, кашель с мокротой, приступы удушья;пульмонолог;2025-11-25T16:00+03:00;бронхоскопия;2025-11-28T09:00+03:00;1750 руб.;4276 4426 9326 5731
Левчук Иван Юрьевич;N92184856;801-110-005 95;припухлость суставов, хруст в суставах;ортопед;2025-12-01T10:30+03:00;анализ крови на ревмофактор, денситометрия;2025-12-03T16:30+03:00;3400 руб.;4276 4454 2493 2149
Большакова Галина Владиславовна;0319 309479;517-123-685 68;головная боль;инфекционист;2025-12-19T15:15+03:00;анализ крови на антитела, анализ кала на инфекции;2025-12-22T11:15+03:00;3400 руб.;2200 0471 0267 6728
Дмитриева София Степановна;0512 929553;122-946-213 47;скованность в суставах, боль в пояснице;ортопед;2025-11-20T15:15+03:00;мрт суставов, рентген позвоночника;2025-11-24T17:00+03:00;14250 руб.;2200 0658 2313 3480
Левчук Иван Виталиевич;7805 796672;715-802-909 97;легкая тошнота;андролог;2025-12-02T15:00+03:00;общий анализ мочи, общий анализ крови;2025-12-04T14:00+03:00;1400 руб.;4630 2752 5483 7444
Громова Богдана Вячеславовна;3614 174196;416-141-509 39;отек Квинке, зуд, аллергическая сыпь;аллерголог;2025-12-15T10:15+03:00;анализ крови на иммуноглобулин Е;2025-12-17T09:15+03:00;1650 руб.;4279 0188 0925 5027
Новиков Александр Александрович;3824 110974;102-312-110 59;головная боль;спортивный врач;2025-11-21T10:45+03:00;общий анализ крови, общий анализ мочи;2025-11-24T17:00+03:00;1400 руб.;4153 7449 0728 0127
Орлова Полина Степановна;N26644381;132-532-694 39;незначительное повышение температуры, головная боль, легкая тошнота;трихолог;2025-11-28T14:15+03:00;общий анализ мочи;2025-12-01T09:00+03:00;600 руб.;2200 0509 6170 1595
Козлова Светлана Денисовна;7824 512846;833-920-567 13;боль в коленях, хромота;ортопед;2025-11-24T11:45+03:00;рентген суставов, рентген позвоночника;2025-11-26T09:00+03:00;5500 руб.;5486 9993 5186 3878
Скворцов Павел Алексеевич;6321 855663;822-782-489 27;ушибы;травматолог;2025-12-08T11:15+03:00;рентген травмированной области;2025-12-10T12:15+03:00;2750 руб.;2200 0562 4843 3795
Кравцов Геннадий Александрович;5925 854226;636-205-015 58;хромота, боль в суставах;ортопед;2025-12-01T10:00+03:00;анализ крови на мочевую кислоту, денситометрия;2025-12-04T09:00+03:00;3400 руб.;5323 0138 7592 7123
Молчанов Лука Вадимович;7718 885653;361-706-171 65;боль внизу живота, выделения из влагалища;уролог;2025-12-01T13:45+03:00;анализ мочи по Нечипоренко;2025-12-03T17:00+03:00;950 руб.;2200 1410 2258 0308
Антонов Степан Олегович;4218 946397;748-595-325 62;общее недомогание;сосудистый хирург;2025-12-09T12:15+03:00;общий анализ мочи, общий анализ крови;2025-12-11T09:00+03:00;1400 руб.;4276 4451 8779 4173
Гусев Евгений Николаевич;N82920556;872-874-315 55;головная боль, незначительное повышение температуры, общая слабость;нарколог;2025-12-05T12:15+03:00;общий анализ мочи;2025-12-08T10:15+03:00;600 руб.;2200 0357 5983 3999
Петухова Злата Олеговна;7816 487283;965-075-273 40;новообразования, изменения кожи, постоянная усталость;онколог;2025-11-27T15:45+03:00;кт с контрастом;2025-12-01T09:00+03:00;9000 руб.;4377 7251 9966 3658
Левчук Иван Виталиевич;7805 796672;715-802-909 97;незначительное повышение температуры;геронтолог;2025-12-04T11:45+03:00;общий анализ крови, общий анализ мочи;2025-12-08T11:45+03:00;1400 руб.;2200 1445 9779 4528
Молчанов Артем Андреевич;7899 188725;265-676-618 22;головная боль, общее недомогание;стоматолог;2025-12-01T09:00+03:00;общий анализ мочи;2025-12-03T17:00+03:00;600 руб.;5469 3880 6562 5909
Власова Анастасия Алексеевна;7820 259415;472-282-005 70;головокружение, нарушение памяти, нарушение речи;невролог;2025-11-24T10:15+03:00;мрт головного мозга;2025-11-26T17:00+03:00;11500 руб.;5323 0138 7592 7123
Григорьева Ольга Егоровна;3801 948915;235-784-521 94;сильные головные боли;нейрохирург;2025-12-05T15:00+03:00;электроэнцефалография, ангиография сосудов мозга;2025-12-08T09:00+03:00;10750 руб.;2200 0414 3308 0031
Захарова Ульяна Степановна;1624 337903;773-872-148 48;эмоциональные проблемы;психотерапевт;2025-12-08T14:30+03:00;нейропсихологическое обследование, психологическое тестирование;2025-12-10T17:00+03:00;3500 руб.;4153 7481 0390 3390
Васильева Полина Васильевна;3422 953746;629-251-881 13;головная боль, легкая тошнота, общая слабость;стоматолог;2025-11-24T17:00+03:00;общий анализ мочи, общий анализ крови;2025-11-27T09:00+03:00;1400 руб.;2200 0464 5970 1089
Гусева Дарья Ивановна;KB2999301;470-798-632 35;головная боль;стоматолог-терапевт;2025-11-26T13:15+03:00;общий анализ мочи, общий анализ крови;2025-11-27T16:15+03:00;1400 руб.;5469 3838 0403 2533
Соколова Инна Евгеньевна;1614 175255;554-451-895 11;общее недомогание, головная боль;физиотерапевт;2025-12-19T16:45+03:00;общий анализ крови, общий анализ мочи;2025-12-22T09:00+03:00;1400 руб.;2200 0507 8161 8490
Петров Дмитрий Александрович;0422 777883;514-604-014 38;общая слабость;стоматолог;2025-12-19T09:45+03:00;общий анализ крови;2025-12-22T16:45+03:00;800 руб.;5323 0138 7592 7123
Тарасов Станислав Сергеевич;MP2332904;079-833-423 11;общая слабость, легкая тошнота;нарколог;2025-11-24T11:15+03:00;общий анализ мочи;2025-11-27T09:00+03:00;600 руб.;2200 0506 0685 3611
Романов Дмитрий Александрович;6322 321441;718-594-849 57;общая слабость, общее недомогание, головная боль;терапевт;2025-11-20T13:30+03:00;общий анализ мочи, биохимический анализ крови;2025-11-21T14:30+03:00;2100 руб.;2200 0900 9687 3042
Макаров Святослав Вячеславович;6624 501198;817-006-661 83;головная боль, незначительное повышение температуры, легкая тошнота;стоматолог-терапевт;2025-12-18T14:15+03:00;общий анализ мочи, общий анализ крови;2025-12-22T09:00+03:00;1400 руб.;5469 3827 8656 1949
Баранова Яна Николаевна;4723 663432;292-361-618 83;боль в глазах, резь в глазах, двоение в глазах;офтальмолог;2025-12-11T11:15+03:00;офтальмоскопия, исследование глазного дна;2025-12-15T09:00+03:00;3500 руб.;5213 2486 3956 1379
Климова Милана Дмитриевна;7825 105066;571-208-267 76;легкая тошнота;трихолог;2025-11-24T10:30+03:00;общий анализ мочи;2025-11-26T09:00+03:00;600 руб.;2200 0200 0413 2116
Романова Радмила Вадимовна;3622 804712;998-094-024 76;легкая тошнота, общая слабость, незначительное повышение температуры;неонатолог;2025-12-09T13:30+03:00;общий анализ мочи, общий анализ крови;2025-12-11T09:00+03:00;1400 руб.;2200 0270 7550 4768
Лукашенко Тимофей Федорович;6609 570148;131-765-397 65;аутоиммунные проявления, медленное заживление ран, увеличение лимфоузлов;иммунолог;2025-11-26T15:00+03:00;анализ крови на иммуноглобулины;2025-12-01T09:00+03:00;1650 руб.;5487 0118 2749 6801
